Manufacturer,Model,Engine Number,VIN,Total Cylinders,Color,Built Date,Price,Quantity
Toyota,Camry,EN12345,VIN12345678901234,4,White,5/10/2020,25000,10
Ford,F-150,EN67890,VIN23456789012345,6,Blue,8/22/2019,35000,5
Honda,Civic,EN23456,VIN34567890123456,4,Black,7/15/2021,22000,15
Chevrolet,Impala,EN34567,VIN45678901234567,6,Red,4/12/2018,28000,7
BMW,3 Series,EN45678,VIN56789012345678,4,Grey,1/5/2022,41000,3
Mercedes-Benz,C-Class,EN56789,VIN67890123456789,4,Silver,3/18/2021,45000,4
Hyundai,Elantra,EN67891,VIN78901234567890,4,Blue,9/29/2020,19000,12
Nissan,Altima,EN78901,VIN89012345678901,4,Black,12/2/2019,23000,8
Volkswagen,Passat,EN89012,VIN90123456789012,4,White,11/11/2018,26000,6
Kia,Sorento,EN90123,VIN01234567890123,4,Red,2/27/2020,24000,9
